Номер,Название
0,Введение в информационные технологии
1,Программирование на Python
2,Анализ данных и машинное обучение
3,Безопасность информационных систем
4,Сетевые технологии и администрирование
5,Веб-разработка и дизайн интерфейсов
6,Разработка мобильных приложений
7,Базы данных и SQL
8,Облачные технологии и вычисления
9,Интернет вещей (IoT) и датчики
10,Киберфизические системы
11,Графический дизайн и мультимедиа
12,Разработка игр и виртуальной реальности
13,Компьютерная графика и анимация
14,Цифровая трансформация и стратегия бизнеса
15,Информационная безопасность и киберзащита
16,Управление проектами в IT
17,Автоматизация тестирования программного обеспечения
18,DevOps и непрерывная интеграция/развертывание
19,Программирование микроконтроллеров
20,Разработка алгоритмов и структур данных
21,Системное администрирование Unix/Linux
22,Электронная коммерция и электронный бизнес
23,Криптография и защита данных
24,Промышленное программирование и автоматизация
25,Мобильные и облачные базы данных
26,Интеллектуальный анализ данных и рекомендательные системы
27,Цифровая архивация и управление данными
28,Программирование на Java
29,Автоматизация бизнес-процессов с помощью RPA
30,Разработка приложений для медицины и здравоохранения
31,Блокчейн и криптовалюты
32,Генетические алгоритмы и машинное обучение
33,Информационная архитектура и пользовательский опыт
34,Анализ больших данных и Hadoop
35,Программирование на C++
36,Аналитика данных в финансах и банковской сфере
37,Разработка графических процессоров и параллельных вычислений
38,Технологии распределенных систем и микросервисы
39,Программирование на JavaScript
40,Моделирование и симуляция компьютерных систем
41,Анализ текстов и естественный язык
42,Виртуализация и контейнеризация
43,Проектирование баз данных и ER-моделирование
44,Разработка интернет-приложений на основе PHP
45,Программирование машинного обучения на языке R
46,Компьютерное зрение и обработка изображений
47,Разработка систем автоматизации производства
48,Программирование игровых движков
49,Системы автоматизации документооборота
50,Анализ данных в маркетинге и рекламе
51,Разработка адаптивных веб-сайтов и приложений
52,Программирование на Swift для iOS
53,Эксплуатация информационных ресурсов
54,Разработка алгоритмов компьютерного зрения для робототехники
55,Киберфизические системы и Интернет вещей (IoT)
56,Технологии машинного перевода и распознавания речи
57,Программирование на Ruby и Ruby on Rails
58,Информационные системы управления предприятием (ERP)
59,Разработка приложений для голосовых помощников
60,Программирование микросервисов с использованием Spring Boot
61,Промышленная робототехника и автоматизация производства
62,Анализ данных в биологии и медицине
63,Разработка приложений для графических планшетов и устройств
64,Программирование на Go
65,Виртуализация сетевых функций (NFV) и программное обеспечение сетей (SDN)
66,Разработка алгоритмов компьютерного зрения для автомобильной индустрии
67,Программирование игр на движке Unity
68,Разработка роботизированных систем для промышленности
69,Анализ данных в геологии и геодезии
70,Разработка облачных инфраструктур и платформ
71,Программирование на Kotlin для Android
72,Интернет-маркетинг и аналитика веб-трафика
73,Разработка систем управления энергопотреблением и умных домов
74,Программирование на C# для платформы .NET
75,Биоинформатика и анализ геномных данных
76,Разработка систем контроля версий и совместной работы
77,Программирование на TypeScript для веб-разработки
78,Анализ данных в фармацевтике и медицинском оборудовании
79,Разработка систем распознавания эмоций по изображениям и видео
80,Программирование на Rust для системного программирования
81,Маркетинговые технологии и аналитика данных в ритейле
82,Разработка систем управления транспортом и логистикой
83,Программирование на Lua для разработки игр и анимации
84,Разработка веб-приложений с использованием фреймворка Django
85,Анализ данных в области экологии и охраны окружающей среды
86,Разработка роботизированных систем для медицины и реабилитации
87,Программирование на Scala для больших данных
88,Системы управления контентом (CMS) и веб-публикации
89,Разработка алгоритмов и систем распознавания рукописного текста
90,Программирование на Perl для администрирования систем
91,Анализ данных в туризме и гостеприимстве
92,Разработка систем виртуальной реальности для образования и тренинга
93,Программирование на Erlang для разработки распределенных систем
94,Разработка геоинформационных систем (ГИС) и картографии
95,Программирование на Assembly для системного программирования
96,Разработка приложений для автономных транспортных средств
97,Интернет вещей (IoT) в сельском хозяйстве и агротехнологиях
98,Разработка систем распознавания жестов и движений
99,Программирование на Dart для мобильной и веб-разработки
